,nb_classes,divergence_idx,nb_branch,shift,percent,diverged_planes_per_block_0,diverged_planes_per_block_1,diverged_planes_per_block_2,diverged_planes_per_block_3
0,62,15,1,0,1.0,64,128,256,512
1,62,15,2,6,0.9997770554072007,64,128,175,356
2,62,15,4,10,0.9994533169389187,64,128,118,246
3,62,15,8,13,0.9860141335412066,64,128,77,168
4,62,15,16,14,0.989836487330835,64,128,50,114
5,62,15,32,14,0.9797518907967379,64,128,31,76
6,62,15,64,14,0.9552363199661208,64,128,18,50
7,62,15,128,12,0.9461685174627342,64,128,10,33
8,62,15,256,11,0.8917116961786099,64,128,5,21
9,62,51,1,0,1.0,64,128,256,512
10,62,51,2,40,0.9998686470156115,64,128,256,322
11,62,51,4,62,0.9954298891283513,64,128,256,194
12,62,51,8,69,0.9945074992824235,64,128,256,112
13,62,51,16,66,0.996570227629857,64,128,256,62
14,62,51,32,57,0.9964560640483638,64,128,256,33
15,62,51,64,47,0.9902652843792112,64,128,256,17
16,62,51,128,37,0.9132671379157686,64,128,256,8
17,62,51,256,28,0.9059191546705716,64,128,256,4
18,20,15,1,0,1.0,64,128,256,512
19,20,15,2,6,0.995343857089048,64,128,175,356
20,20,15,4,9,0.9992440385724709,64,128,119,247
21,20,15,8,11,0.9969977531878129,64,128,79,170
22,20,15,16,13,0.9822504471235273,64,128,51,115
23,20,15,32,13,0.9691014595060174,64,128,32,77
24,20,15,64,12,0.9943669020595339,64,128,20,52
25,20,15,128,11,0.9420238167359851,64,128,11,34
26,20,15,256,10,0.9136860626526081,64,128,6,22
27,20,51,1,0,1.0,64,128,256,512
28,20,51,2,40,0.9962128313772545,64,128,256,322
29,20,51,4,61,0.9948109803550084,64,128,256,195
30,20,51,8,68,0.9944879823015487,64,128,256,113
31,20,51,16,66,0.9831560791062361,64,128,256,62
32,20,51,32,57,0.9811615167883336,64,128,256,33
33,20,51,64,47,0.9737779523239085,64,128,256,17
34,20,51,128,37,0.8970162479204122,64,128,256,8
35,20,51,256,28,0.8886801352250099,64,128,256,4
36,19,15,1,0,1.0,64,128,256,512
37,19,15,2,6,0.9952370796151355,64,128,175,356
38,19,15,4,9,0.9989926136859892,64,128,119,247
39,19,15,8,11,0.9965491716365226,64,128,79,170
40,19,15,16,13,0.9815438975798885,64,128,51,115
41,19,15,32,13,0.9680604394902286,64,128,32,77
42,19,15,64,12,0.9928732061982911,64,128,20,52
43,19,15,128,11,0.9399679696732851,64,128,11,34
44,19,15,256,10,0.9109312151566126,64,128,6,22
45,19,51,1,0,1.0,64,128,256,512
46,19,51,2,40,0.9961245264649091,64,128,256,322
47,19,51,4,61,0.994632377848223,64,128,256,195
48,19,51,8,68,0.9942270135492688,64,128,256,113
49,19,51,16,66,0.9828320651715239,64,128,256,62
50,19,51,32,57,0.9807920824982155,64,128,256,33
51,19,51,64,47,0.9733797067459101,64,128,256,17
52,19,51,128,37,0.8966237135153623,64,128,256,8
53,19,51,256,28,0.8882637329083589,64,128,256,4
